repayment_id,loan_id,due_date,payment_date,amount_paid,repayment_status
57,5739,2025-05-25,2026-04-06,31691.5,Missed
58,2669,2025-10-12,2026-04-01,7025.18,Late
59,5441,2025-12-15,2025-06-25,35919.05,Missed
60,4417,2025-05-16,2026-04-21,17064.16,Missed
61,13645,2026-05-06,2026-01-18,31327.26,Missed
62,6434,2025-06-25,2026-02-07,31752.52,On-Time
63,8062,2026-05-04,2025-06-05,4721.8,Missed
64,342,2025-07-31,2025-05-19,27833.09,On-Time
65,3894,2025-05-28,2026-02-22,17236.72,Missed
66,7188,2026-05-09,2025-06-25,14797.68,Late
67,26,2026-03-29,2026-02-11,36061.34,Late
68,4153,2025-12-10,2026-04-02,23464.36,On-Time
69,6386,2025-11-03,2025-12-21,16169.51,On-Time
70,8836,2025-11-14,2026-03-30,32379.31,Late
71,1626,2025-06-24,2025-05-15,24858.21,Late
72,10534,2025-05-14,2025-07-17,35679.29,Late
73,8205,2025-10-29,2025-12-14,12335.79,Missed
74,1966,2026-01-15,2025-10-13,6963.91,On-Time
75,10674,2026-01-28,2025-06-13,30996.6,Late
76,9150,2025-11-06,2025-09-01,11494.14,Late
77,2418,2026-05-02,2025-10-03,9271.22,Late
78,14717,2025-12-01,2025-05-26,14733.32,Late
79,3323,2026-03-30,2026-04-18,15040.09,Late
80,6882,2026-05-09,2026-03-20,32695.95,On-Time
81,12102,2026-03-20,2026-04-27,15051.89,On-Time
82,9517,2025-09-28,2026-03-24,15483.51,On-Time
83,8913,2026-01-21,2025-06-15,16018.15,Late
84,2521,2025-08-25,2026-01-27,30600.48,On-Time
85,148,2026-02-19,2026-04-25,42078.69,On-Time
86,1288,2026-03-02,2025-06-15,7089.56,On-Time
87,9466,2026-01-19,2025-12-12,3730.59,Missed
88,993,2026-02-28,2026-01-21,33564.79,On-Time
89,8660,2026-02-21,2026-02-28,40464.28,On-Time
90,3128,2026-03-10,2025-05-24,41114.97,On-Time
91,13968,2025-08-30,2026-03-18,28362.22,Late
92,94,2025-09-19,2025-11-12,32259.26,Missed
93,3491,2025-09-30,2026-04-13,1751.36,Missed
94,14123,2026-03-29,2025-12-01,12777.14,Missed
95,2123,2025-08-02,2025-11-05,40514.31,Late
96,5274,2025-07-04,2025-07-30,9442.9,On-Time
97,7135,2025-09-20,2025-10-15,3156.66,Missed
98,12028,2025-09-25,2025-10-04,21169.03,Late
99,9581,2025-06-17,2026-02-28,39810.0,Late
100,2931,2025-12-19,2025-07-16,16496.28,Late
101,1861,2026-01-06,2025-05-13,9357.94,Late
102,12125,2026-04-03,2025-08-06,10757.02,Missed
103,12271,2025-12-26,2025-10-29,33340.19,Late
104,4495,2026-04-27,2026-01-20,10973.97,On-Time
105,11367,2026-02-26,2025-09-15,30152.22,On-Time
106,6118,2025-09-14,2025-09-01,42900.1,On-Time
107,10545,2025-08-11,2026-02-20,45769.23,Late
108,10624,2025-07-18,2026-03-28,32486.87,Late
109,7241,2025-09-15,2026-03-13,48690.47,Missed
110,7481,2025-06-03,2026-02-03,31902.98,Late
111,8510,2025-12-10,2025-09-28,7923.29,Late
112,8469,2026-05-07,2026-04-08,19256.23,Missed
113,4014,2025-06-14,2026-01-27,37519.8,On-Time
114,104,2025-10-14,2025-11-09,18338.61,On-Time
115,5749,2025-08-27,2025-11-28,43764.43,On-Time
116,8286,2025-08-08,2026-04-25,13262.6,Late
117,4923,2026-03-10,2026-01-28,32359.81,Late
118,9589,2025-06-27,2025-07-24,44455.48,On-Time
119,11714,2025-06-15,2026-03-17,20630.79,Missed
120,10138,2025-09-01,2026-04-14,22606.37,Missed
121,5603,2025-05-12,2026-02-25,18867.46,Missed
122,12160,2026-03-03,2026-02-26,47442.66,Late
123,2182,2026-01-08,2026-03-08,8212.44,Late
124,4252,2025-11-08,2025-12-10,31033.92,On-Time
125,4122,2026-02-02,2026-02-19,33334.26,On-Time
126,532,2025-06-16,2025-11-24,3218.08,Missed
127,2691,2025-06-24,2025-12-29,6342.28,Missed
128,7324,2025-06-21,2025-10-19,13764.14,Late
129,10258,2026-04-09,2025-09-14,40923.46,Late
130,5218,2025-11-28,2026-01-02,5599.01,Missed
131,9823,2025-10-24,2025-11-16,20479.99,Late
132,11332,2025-08-12,2025-09-06,23888.73,Late
133,726,2025-06-24,2026-04-04,4807.03,Missed
134,11683,2026-04-05,2026-01-15,9204.41,Missed
135,8212,2025-11-26,2025-07-25,13433.02,Late
136,13131,2025-11-07,2026-02-04,40576.72,On-Time
137,5762,2026-04-20,2026-03-11,13813.79,On-Time
138,8003,2025-07-17,2026-01-27,31024.79,Late
139,3377,2025-09-24,2025-08-27,35622.74,Missed
140,12070,2025-08-28,2025-06-04,46493.32,On-Time
141,14163,2025-06-10,2025-08-14,19436.46,Late
142,7884,2026-04-08,2025-06-20,15356.29,Missed
143,9902,2025-06-10,2026-02-14,31883.5,Late
144,13035,2026-02-04,2026-02-01,15725.46,Late
145,12319,2025-08-28,2025-12-07,5044.7,Late
146,12660,2025-05-17,2025-09-10,35761.66,Missed
147,6917,2025-09-23,2026-02-13,42509.44,Late
148,600,2025-07-21,2026-02-04,16100.32,On-Time
149,4456,2025-10-08,2025-08-02,47766.01,Missed
150,5724,2025-06-08,2025-07-02,49279.94,On-Time
151,9068,2025-11-17,2025-07-06,44240.99,On-Time
152,3957,2025-10-03,2026-03-23,26698.27,Late
153,5991,2025-10-20,2025-11-07,35086.46,On-Time
154,6741,2025-11-16,2025-07-13,24042.23,Late
155,6902,2025-05-26,2025-09-21,4200.48,Late
156,3990,2025-05-14,2025-08-05,43505.88,Missed
157,20,2025-11-30,2026-04-23,8576.95,Late
158,5584,2026-01-25,2026-04-29,45950.86,Late
159,5265,2026-02-12,2026-02-12,18587.87,Missed
160,6708,2025-09-06,2025-08-01,33753.93,Missed
161,12228,2025-12-08,2026-01-16,30931.02,Missed
162,12313,2026-02-21,2025-06-18,16963.05,Missed
163,7675,2025-12-22,2025-09-08,13715.25,On-Time
164,3171,2025-09-02,2025-10-07,31609.28,Missed
165,6216,2026-01-28,2026-04-27,44258.11,Missed
166,12867,2025-06-14,2026-04-02,36228.36,Late
167,578,2025-12-27,2026-03-12,19100.2,Missed
168,3026,2025-11-29,2025-12-09,24237.78,Late
169,13180,2025-12-25,2025-05-15,49842.85,Late
170,5121,2025-11-23,2025-07-10,5546.72,Late
171,2669,2025-08-27,2025-09-09,8052.64,On-Time
172,7736,2025-06-09,2025-09-07,3398.19,Missed
173,1421,2025-09-18,2025-07-05,37570.27,On-Time
174,9065,2025-05-09,2026-04-15,11902.26,Late
175,8445,2026-04-08,2025-09-04,20629.54,Late
176,4196,2025-07-24,2025-08-15,42527.68,Late
177,10590,2025-05-11,2025-10-09,26239.22,Missed
178,7526,2025-10-17,2025-11-27,41328.52,Missed
179,11816,2026-02-13,2025-09-13,32099.9,Late
180,12825,2025-08-24,2026-03-27,47096.58,Late
181,9278,2026-02-08,2025-12-08,30445.53,On-Time
182,10757,2026-02-04,2026-01-06,46008.33,Late
183,4951,2026-02-21,2026-03-25,30900.69,On-Time
184,14083,2025-07-18,2026-03-04,48618.75,Missed
185,9078,2026-05-09,2026-02-19,25225.57,On-Time
186,11380,2025-10-13,2025-06-16,45109.56,Missed
187,12162,2025-05-18,2025-10-22,14743.06,On-Time
188,14144,2025-09-05,2025-09-02,49325.71,On-Time
189,3907,2025-07-10,2025-06-24,21994.9,Missed
190,2429,2025-11-14,2025-12-11,26123.65,Missed
191,9271,2026-04-02,2025-07-27,48807.51,Late
192,10626,2025-06-15,2026-03-30,1329.82,Missed
193,200,2025-09-17,2025-07-06,35508.78,Missed
194,3860,2025-11-25,2026-03-20,16591.05,On-Time
195,4402,2026-02-25,2025-10-19,42628.9,Missed
196,2175,2025-09-27,2025-10-29,5357.26,Late
197,643,2025-11-03,2026-05-06,46472.83,On-Time
198,10171,2025-09-10,2026-02-07,8485.15,Late
199,12228,2025-09-27,2025-09-19,7758.22,Missed
200,225,2025-12-29,2025-12-22,18191.57,On-Time
201,2758,2025-11-09,2025-11-12,3225.27,On-Time
202,3938,2025-08-06,2025-10-19,46201.49,Missed
203,14331,2025-07-01,2026-03-24,9076.63,On-Time
204,13061,2026-04-06,2025-11-30,24558.16,Missed
205,7187,2026-03-19,2026-03-24,6183.36,Late
206,6484,2026-01-02,2026-01-29,34216.79,On-Time
207,14851,2025-10-15,2025-07-11,39062.88,Late
208,2061,2025-05-22,2025-12-03,25960.48,On-Time
209,12305,2025-08-14,2026-04-08,21322.8,Late
210,13873,2025-08-11,2025-08-03,48508.84,Missed
211,11420,2026-04-10,2026-01-13,42056.67,On-Time
212,7753,2025-08-02,2026-01-01,36097.28,Missed
213,2233,2026-05-04,2026-01-17,9910.56,Late
214,8618,2026-03-07,2026-02-09,24809.42,Missed
215,1892,2026-02-26,2025-10-20,9470.78,On-Time
216,1014,2025-08-04,2025-11-24,16601.4,Missed
217,12328,2025-09-10,2025-12-28,15853.02,Late
218,12524,2025-07-06,2025-07-04,26946.85,On-Time
219,4840,2025-08-19,2025-11-06,13572.93,Late
220,10628,2025-08-25,2026-02-06,40035.52,On-Time
221,11564,2025-05-13,2025-07-21,14386.53,Late
222,5008,2026-01-29,2025-10-11,9943.42,On-Time
223,7749,2026-02-14,2025-05-28,41679.25,Late
224,5835,2026-04-13,2025-10-18,15997.66,Late
225,7793,2025-05-28,2025-12-19,39563.03,Late
226,12805,2025-08-15,2025-06-26,10225.14,Late
227,12396,2025-08-09,2025-08-16,47852.94,Late
228,6866,2026-02-15,2025-11-26,33175.2,Late
229,931,2025-12-05,2025-08-06,8762.87,Late
230,5532,2026-04-10,2025-08-05,26332.16,On-Time
231,14909,2026-01-31,2025-12-18,33167.01,Late
232,13230,2025-12-28,2025-05-25,41592.99,Missed
233,6070,2025-06-08,2025-05-15,21963.78,Late
234,1703,2025-11-16,2025-07-18,30298.28,Missed
235,4823,2026-02-25,2025-07-30,18039.53,Late
236,11065,2026-01-27,2025-08-09,5933.06,Missed
237,2379,2026-02-03,2025-05-09,1023.27,Late
238,573,2026-04-25,2026-02-26,40366.55,On-Time
239,13621,2026-03-30,2026-01-15,14921.05,Late
240,205,2026-01-19,2025-06-05,1815.35,Missed
241,5233,2026-03-13,2025-10-25,38151.54,Missed
242,5630,2025-12-02,2025-08-30,23963.33,Late
243,6704,2026-04-06,2025-12-04,27387.7,On-Time
244,1038,2026-02-04,2025-09-19,8910.85,Late
245,7972,2025-11-11,2025-07-16,36550.39,On-Time
246,5174,2025-10-20,2026-01-18,11297.78,Late
247,1594,2025-05-26,2026-05-01,29264.4,Missed
248,10285,2025-05-28,2025-08-18,46926.87,On-Time
249,11071,2026-04-10,2026-05-08,30603.44,Late
250,13096,2025-11-07,2026-02-01,43817.24,Missed
251,13881,2026-01-10,2025-05-21,24464.91,On-Time
252,7334,2026-05-06,2025-09-10,10105.57,On-Time
253,6266,2025-07-30,2026-01-22,46474.64,Missed
254,2982,2025-12-14,2025-10-04,14126.61,On-Time
255,9668,2025-10-15,2026-04-04,33637.3,Late
256,13456,2025-09-27,2025-12-07,9342.67,On-Time
257,6245,2025-07-14,2025-11-12,45323.97,On-Time
258,13763,2025-07-06,2025-11-15,28975.54,On-Time
259,5681,2025-09-17,2026-02-06,1550.28,Missed
260,13184,2026-02-01,2026-04-27,37946.94,Late
261,2018,2026-03-02,2025-09-12,38146.14,Late
262,14655,2025-06-10,2025-08-30,47605.64,Late
263,13385,2026-04-15,2026-02-19,36034.33,On-Time
264,3226,2025-11-26,2025-05-25,27922.55,On-Time
265,6878,2026-01-17,2026-02-04,49692.86,On-Time
266,12580,2025-09-15,2025-10-02,11572.19,Missed
267,11968,2025-09-23,2025-07-11,3197.49,On-Time
268,8057,2026-04-15,2025-08-30,37921.76,Missed
269,4411,2026-03-06,2025-07-16,40836.8,Missed
270,8856,2026-01-22,2025-08-03,14348.9,Missed
271,12454,2025-07-09,2025-11-14,17895.27,On-Time
272,13265,2025-06-11,2026-03-17,29168.27,On-Time
273,11063,2026-03-04,2026-04-15,1022.92,Late
274,10151,2025-06-22,2025-11-11,28294.41,On-Time
275,805,2026-03-26,2025-10-30,9890.45,On-Time
276,13311,2025-09-18,2026-02-11,11907.55,On-Time
277,12757,2025-07-06,2025-05-11,39971.13,On-Time
278,14078,2025-06-24,2025-06-13,33755.13,Missed
279,8151,2025-11-29,2025-11-15,37879.38,On-Time
280,5600,2025-05-13,2025-05-24,13328.16,Missed
281,12753,2025-05-26,2025-11-25,34519.97,Late
282,4247,2025-06-22,2025-08-17,37327.26,Late
283,5186,2026-04-04,2026-01-26,14141.99,Missed
284,10861,2025-08-10,2025-10-14,33212.34,On-Time
285,7739,2025-12-25,2025-07-04,46145.78,Missed
286,2315,2025-06-23,2026-01-27,30982.71,Late
287,10823,2025-09-26,2026-04-01,18944.76,Late
288,1868,2026-01-29,2026-04-05,28702.47,Missed
289,8168,2025-08-01,2025-12-13,38851.87,Late
290,6902,2025-11-18,2026-01-26,36183.53,Late
291,1273,2025-08-25,2025-05-15,24271.85,Late
292,9427,2026-01-29,2025-10-11,26012.1,Late
293,10776,2026-02-24,2026-02-27,19054.68,Late
294,9197,2025-11-06,2025-07-21,11431.54,Missed
295,4346,2026-05-01,2026-01-27,24800.38,On-Time
296,8451,2025-09-05,2025-09-05,1386.11,Late
297,9282,2026-02-01,2026-02-28,21975.27,Missed
298,7253,2026-03-13,2025-12-11,14731.66,On-Time
299,6955,2026-05-04,2025-07-13,48354.99,Missed
300,8263,2025-07-09,2026-04-03,34157.73,Late
301,6413,2025-08-16,2025-06-04,9808.31,On-Time
302,2154,2025-10-24,2025-12-16,35435.84,Missed
303,10414,2025-09-21,2025-12-29,23428.16,Missed
304,1589,2025-10-13,2025-10-22,2677.03,On-Time
305,1457,2026-03-08,2026-02-27,22643.85,On-Time
306,9242,2025-11-15,2025-06-02,26700.99,Late
307,10018,2025-12-06,2025-12-29,22650.37,Late
308,9465,2025-06-01,2025-07-02,23064.96,On-Time
309,12696,2025-08-23,2026-02-06,12323.53,Missed
310,3771,2025-11-19,2025-12-28,16914.2,On-Time
311,204,2025-10-28,2025-08-01,3523.81,Late
312,2929,2025-05-23,2026-01-01,49459.21,Missed
313,8026,2026-04-13,2026-01-07,44980.37,On-Time
314,7,2026-05-08,2026-01-04,36647.73,Missed
315,11542,2025-05-29,2025-12-24,48058.05,On-Time
316,7356,2025-11-21,2025-09-15,30287.56,On-Time
317,1744,2025-07-24,2026-02-28,35911.94,On-Time
318,3396,2025-12-08,2025-07-21,49228.11,Late
319,4551,2025-05-31,2025-05-14,49198.25,Late
320,14108,2025-10-16,2025-05-15,37020.67,On-Time
321,2145,2026-04-15,2026-03-16,36562.65,Missed
322,14695,2025-09-20,2025-07-12,4478.45,On-Time
323,13227,2026-03-13,2025-06-10,5638.64,Late
324,7021,2025-10-07,2025-12-13,41427.33,On-Time
325,12754,2025-09-15,2025-06-28,40628.44,On-Time
326,12376,2026-01-19,2026-04-17,7131.64,Late
327,8345,2025-09-21,2025-09-27,9579.74,Missed
328,11607,2025-06-07,2026-04-21,35483.78,Missed
329,10295,2025-10-25,2026-03-25,16912.38,Late
330,6443,2026-05-05,2025-09-17,9423.72,Missed
331,4132,2026-03-30,2026-03-15,37656.36,Late
332,11121,2026-01-03,2025-08-15,41869.33,Late
333,302,2025-12-07,2025-09-11,27572.39,Missed
334,7482,2026-03-06,2026-04-10,44033.0,Missed
335,10385,2025-06-29,2025-10-23,16775.45,Missed
336,14013,2025-08-05,2026-02-02,10340.3,On-Time
337,11248,2026-01-13,2025-07-21,40849.24,On-Time
338,11929,2025-06-15,2026-02-14,44548.45,On-Time
339,12801,2026-02-19,2025-07-19,34871.69,Late
340,8098,2026-02-08,2026-03-29,37084.31,Late
341,8654,2025-08-12,2026-04-26,4194.45,Missed
342,2872,2025-05-21,2026-03-31,42691.58,Missed
343,6613,2025-08-02,2025-10-10,4094.87,Missed
344,8897,2025-06-11,2025-09-01,8324.55,Late
345,3740,2025-06-10,2025-07-02,40244.0,Late
346,13363,2026-04-08,2025-10-15,20287.07,On-Time
347,9388,2026-04-03,2025-07-22,38910.63,On-Time
348,4567,2026-03-28,2025-05-15,15758.23,Missed
349,7971,2026-04-30,2026-04-28,16505.16,On-Time
350,1513,2026-01-02,2026-04-07,23138.93,On-Time
351,11189,2025-12-19,2025-07-15,44096.93,Late
352,11492,2025-05-10,2025-08-17,7098.55,Missed
353,11923,2025-07-20,2026-01-07,25537.47,Missed
354,9443,2025-05-29,2026-03-16,2625.36,Missed
355,4542,2025-10-10,2025-06-04,26271.59,On-Time
356,14266,2025-12-19,2025-10-28,38831.23,Missed
357,3637,2025-10-26,2025-06-03,48444.77,On-Time
358,13945,2025-07-25,2025-07-08,11251.86,On-Time
359,3680,2025-05-12,2025-06-11,13295.39,Missed
360,1273,2025-10-01,2025-11-17,17200.79,On-Time
361,9135,2025-07-24,2026-02-10,18999.87,Late
362,11274,2025-07-19,2026-02-12,7980.15,Missed
363,10045,2026-02-14,2025-12-19,19982.92,Late
364,11114,2025-12-02,2025-05-28,18078.22,Missed
365,11167,2025-10-09,2025-07-28,18933.48,On-Time
366,6122,2025-08-24,2026-04-03,44253.16,Late
367,9128,2025-12-06,2025-09-09,26589.28,Late
368,13505,2025-11-12,2025-10-20,36038.65,Missed
369,2361,2025-07-19,2025-05-23,44841.16,Late
370,14366,2025-11-01,2025-12-04,4245.04,Missed
371,6709,2025-12-08,2026-03-11,33912.61,On-Time
372,3315,2026-01-29,2025-12-23,4347.07,Missed
373,6612,2026-04-06,2026-02-20,13796.8,Missed
374,13193,2025-11-16,2025-08-28,3050.31,Late
375,12107,2026-03-10,2026-03-19,25099.54,Late
376,13916,2025-09-27,2025-12-02,17167.73,Missed
377,3424,2026-02-15,2025-10-02,13312.29,On-Time
378,13044,2026-03-20,2025-08-12,17404.59,Late
379,14629,2025-07-14,2026-01-09,23766.16,On-Time
380,9879,2025-09-17,2025-06-01,47392.9,Missed
381,9530,2026-03-06,2025-11-29,42730.95,Missed
382,7129,2026-04-29,2026-02-28,14479.86,On-Time
383,4953,2025-10-05,2025-06-04,1461.24,Missed
384,3725,2025-12-06,2025-06-05,31979.65,Late
385,447,2026-04-12,2025-09-07,19399.58,On-Time
386,11645,2025-12-04,2025-07-17,33668.27,Missed
387,2591,2025-12-14,2026-03-23,30993.47,Late
388,2366,2026-01-22,2025-09-15,32433.03,On-Time
389,6667,2025-08-13,2025-07-14,6270.19,On-Time
390,2983,2026-03-23,2026-02-19,42814.58,On-Time
391,3701,2025-11-23,2025-09-06,28463.01,Late
392,14075,2026-01-31,2025-06-10,40926.86,On-Time
393,2503,2025-11-16,2025-11-18,24410.57,On-Time
394,1932,2025-07-13,2025-08-31,30066.26,Missed
395,3490,2025-08-24,2025-07-14,23580.86,Missed
396,47,2025-12-01,2025-05-21,7574.07,Late
397,11343,2025-06-25,2025-08-24,28042.87,On-Time
398,8601,2025-09-07,2026-03-24,47010.81,On-Time
399,8812,2025-05-12,2026-02-28,34831.48,Missed
400,13794,2025-07-17,2025-11-26,14465.93,On-Time
401,7507,2025-08-21,2025-08-29,43413.83,Missed
402,1067,2025-07-20,2026-01-13,32331.57,Missed
403,13383,2025-06-06,2026-04-10,42021.18,On-Time
404,5820,2026-02-23,2026-04-03,2743.43,Late
405,4991,2025-06-20,2025-09-14,20423.42,Missed
406,11898,2026-04-23,2026-03-04,44481.37,Late
407,6806,2026-03-17,2025-11-06,21087.82,Missed
408,11415,2025-11-27,2025-08-03,9555.74,Late
409,13352,2025-08-12,2025-12-03,2317.97,Late
410,10039,2025-10-31,2025-08-05,26018.07,Missed
411,4089,2025-05-18,2025-11-25,27808.47,On-Time
412,3629,2025-11-03,2025-11-30,47824.31,Late
413,10855,2025-11-02,2025-07-24,35168.66,Late
414,14126,2026-02-12,2025-12-06,36440.26,Late
415,12486,2026-05-06,2026-04-28,32319.42,Missed
416,838,2025-06-29,2025-07-20,36973.26,Late
417,3344,2025-10-08,2025-12-14,3919.09,Late
418,9684,2025-06-13,2025-07-18,29651.04,Late
419,13859,2026-03-28,2025-05-15,42214.83,On-Time
420,3957,2026-04-15,2025-06-14,22702.79,Missed
421,3376,2025-05-15,2026-03-05,29199.81,Missed
422,3044,2026-04-20,2026-01-26,8929.25,Missed
423,14923,2026-04-07,2025-08-31,15769.65,On-Time
424,7869,2025-05-21,2026-04-06,11605.54,Missed
425,103,2026-04-18,2025-11-11,32839.6,On-Time
426,9260,2025-08-21,2025-10-21,23869.7,Late
427,4222,2025-09-02,2026-03-11,49280.54,Missed
428,12880,2026-04-30,2026-02-07,16330.49,Missed
429,9941,2025-07-22,2025-12-27,26064.11,On-Time
430,8846,2026-01-22,2025-09-09,33588.33,On-Time
431,7713,2026-03-01,2025-06-04,10834.88,Missed
432,10066,2025-08-29,2025-06-03,30911.86,On-Time
433,12766,2026-02-22,2026-04-24,25337.21,Late
434,982,2025-05-10,2025-07-15,22330.54,Late
435,1623,2025-08-30,2026-01-08,2493.49,Missed
436,11453,2025-11-04,2025-07-04,22670.72,Late
437,13896,2025-11-19,2025-10-16,24205.84,On-Time
438,648,2026-03-28,2026-02-21,15049.23,Missed
439,501,2026-01-11,2026-03-06,41933.59,On-Time
440,10702,2025-11-14,2026-04-12,34885.26,On-Time
441,9791,2026-02-02,2025-08-16,36091.73,Late
442,9162,2025-07-22,2025-07-21,5198.31,On-Time
443,3847,2026-02-10,2026-02-24,3699.84,On-Time
444,593,2026-02-18,2025-12-10,22724.86,On-Time
445,1065,2025-05-29,2025-09-18,14327.36,Late
446,12774,2026-03-08,2025-11-16,1652.11,On-Time
447,12482,2025-07-17,2025-09-27,27314.79,On-Time
448,4968,2025-11-04,2025-08-12,20949.34,On-Time
449,10123,2025-07-16,2026-04-11,12120.88,On-Time
450,11126,2025-12-15,2026-03-18,37270.82,On-Time
451,5850,2025-08-28,2025-08-15,1489.38,Late
452,12883,2025-07-31,2026-03-01,22071.64,Missed
453,6528,2025-10-22,2025-08-29,42856.0,Missed
454,9421,2026-03-15,2026-03-23,48962.24,Late
455,3076,2025-06-25,2026-03-02,13934.9,Late
456,11819,2025-11-12,2026-03-28,34659.12,On-Time
457,12969,2025-06-02,2025-07-25,41392.51,Late
458,11509,2025-08-25,2026-03-24,45222.63,Late
459,6181,2025-10-17,2026-02-04,6365.73,On-Time
460,1545,2026-02-25,2026-03-20,12202.63,On-Time
461,3086,2025-12-12,2026-05-06,48795.21,On-Time
462,2672,2025-08-23,2025-10-24,49845.44,Missed
463,1496,2025-12-28,2026-04-05,46886.62,Late
464,11796,2025-05-25,2026-01-20,20268.45,On-Time
465,11948,2025-06-12,2025-12-29,23868.4,Missed
466,7800,2025-12-11,2026-02-12,36442.52,On-Time
467,8691,2025-07-01,2026-01-19,47073.38,Late
468,4264,2026-03-05,2026-02-12,47339.38,On-Time
469,14357,2025-05-13,2025-07-22,22841.19,On-Time
470,15000,2025-05-28,2025-10-09,45756.79,On-Time
471,12887,2025-11-19,2025-09-11,45359.18,On-Time
472,11970,2025-08-04,2026-04-19,20315.94,On-Time
473,134,2025-07-17,2025-12-18,44562.09,Missed
474,787,2025-06-24,2025-05-18,4164.09,On-Time
475,7146,2025-07-08,2025-07-28,7063.02,On-Time
476,2948,2026-04-30,2025-09-14,34266.82,Late
477,905,2025-11-12,2026-03-29,33813.31,Late
478,3941,2025-12-12,2025-12-18,29258.46,Missed
479,6427,2026-01-01,2025-09-14,36745.2,Missed
480,11790,2025-12-08,2025-09-26,5565.4,Missed
481,9642,2025-06-28,2025-08-30,13863.15,Missed
482,4615,2026-03-19,2025-08-19,6139.93,On-Time
483,1685,2025-12-22,2025-09-17,12445.27,Late
484,12834,2025-11-21,2025-06-08,47586.8,Late
485,3378,2025-07-11,2025-11-29,11267.82,Missed
486,188,2026-03-31,2026-01-08,46327.6,On-Time
487,416,2026-03-23,2026-02-26,22128.52,Late
488,2070,2026-03-10,2025-12-21,36555.78,Missed
489,2273,2026-03-08,2026-01-12,33695.53,Missed
490,12796,2026-04-11,2025-09-24,18313.09,Late
491,918,2025-10-29,2025-08-24,4472.26,Late
492,6632,2026-01-18,2025-09-04,6598.44,On-Time
493,4466,2026-02-08,2026-05-08,32240.05,On-Time
494,14563,2025-11-20,2025-07-16,17106.31,On-Time
495,9037,2026-02-16,2025-05-19,46093.47,On-Time
496,5935,2026-03-20,2026-05-01,45509.83,On-Time
497,4555,2026-05-04,2025-08-03,14656.74,Late
498,10843,2026-03-14,2026-02-10,4759.36,Late
499,1640,2025-08-21,2025-09-09,37000.73,On-Time
