loan_id,customer_id,loan_amount,interest_rate,tenure_months,loan_status,disbursement_date
79,10000,321911,17.55,36,Default,2024-11-03
80,10000,235347,23.99,12,Closed,2025-01-16
81,10000,56218,15.2,24,Default,2025-11-10
82,10000,445416,18.79,36,Acive,2025-03-11
83,10000,323439,8.35,36,Acive,2024-10-16
84,10000,238977,20.25,48,Default,2025-05-25
85,10000,215546,12.46,48,Closed,2025-07-17
86,10000,88908,23.8,36,Acive,2024-06-29
87,10000,753173,20.29,36,Closed,2024-10-13
88,10000,113411,17.76,36,Default,2024-06-05
89,10000,800752,8.26,12,Closed,2025-11-30
90,10000,517981,15.83,36,Closed,2026-04-13
91,10000,387101,20.49,6,Default,2025-10-13
92,10000,306216,16.7,36,Acive,2024-08-15
93,10000,524761,21.07,48,Closed,2024-09-03
94,10000,765584,12.77,6,Default,2025-09-06
95,10000,411113,12.26,24,Default,2024-10-30
96,10000,846416,9.66,48,Default,2025-08-16
97,10000,275017,19.91,12,Acive,2024-05-18
98,10000,91794,20.07,24,Closed,2024-10-21
99,10000,290969,20.11,36,Default,2024-11-21
100,10000,836377,22.09,36,Acive,2025-07-02
101,10000,182334,22.68,24,Closed,2024-07-11
102,10000,738141,14.99,6,Acive,2025-03-12
103,10000,748963,23.75,6,Acive,2026-01-03
104,10000,444761,13.93,36,Closed,2025-08-19
105,10000,607538,17.13,12,Acive,2026-02-08
106,10000,380538,20.7,6,Default,2024-12-18
107,10000,591598,12.48,12,Acive,2024-11-30
108,10000,520889,18.25,48,Default,2026-04-21
109,10000,98270,19.57,12,Acive,2024-10-17
110,10000,541447,15.12,6,Closed,2026-04-10
111,10000,300394,21.89,36,Acive,2024-11-14
112,10000,605386,9.8,36,Default,2026-01-08
113,10000,686648,19.89,6,Acive,2025-02-02
114,10000,352216,14.76,48,Acive,2025-12-08
115,10000,783012,21.41,6,Acive,2025-10-24
116,10000,369363,21.79,48,Default,2025-07-08
117,10000,190963,18.06,24,Default,2024-09-14
118,10000,246344,16.67,48,Closed,2026-04-06
119,10000,145184,11.19,48,Closed,2025-04-17
120,10000,203565,17.38,24,Default,2026-01-06
121,10000,894713,21.27,36,Closed,2024-10-17
122,10000,399122,21.8,24,Acive,2026-03-09
123,10000,247074,13.23,24,Acive,2024-09-23
124,10000,334290,14.38,6,Closed,2025-08-27
125,10000,267863,23.34,12,Acive,2025-10-06
126,10000,677428,21.99,12,Default,2025-10-04
127,10000,870533,19.59,12,Acive,2025-10-27
128,10000,855670,11.42,24,Default,2026-03-17
129,10000,51172,22.76,24,Default,2025-05-31
130,10000,377356,10.34,36,Acive,2025-01-11
131,10000,208989,13.74,12,Default,2025-07-26
132,10000,164873,9.76,12,Default,2025-07-11
133,10000,724922,8.53,6,Default,2026-01-12
134,10000,839352,21.01,6,Default,2025-02-06
135,10000,552836,17.73,24,Acive,2025-03-23
136,10000,471196,21.62,48,Acive,2025-04-15
137,10000,863434,20.68,6,Closed,2025-05-29
138,10000,57259,21.95,36,Closed,2024-07-23
139,10000,109621,15.17,12,Acive,2024-11-25
140,10000,634893,16.09,24,Default,2026-01-08
141,10000,814518,9.31,12,Default,2024-09-01
142,10000,850335,20.68,12,Closed,2025-05-09
143,10000,975037,9.52,48,Default,2026-04-06
144,10000,658931,21.08,6,Acive,2025-02-26
145,10000,288791,15.23,48,Default,2025-08-03
146,10000,322705,17.76,6,Default,2024-09-04
147,10000,755211,10.78,6,Acive,2025-12-01
148,10000,374273,14.6,6,Closed,2025-05-01
149,10000,992211,12.49,36,Default,2025-07-23
150,10000,901990,8.87,24,Closed,2025-11-25
151,10000,153849,17.13,6,Default,2024-09-23
152,10000,374049,15.88,12,Acive,2025-05-27
153,10000,121666,22.54,24,Default,2025-04-10
154,10000,912977,10.22,48,Default,2024-08-11
155,10000,587480,21.9,12,Acive,2025-07-12
156,10000,362151,15.89,48,Acive,2025-06-15
157,10000,537568,20.46,6,Closed,2025-10-25
158,10000,154384,12.58,36,Default,2026-02-17
159,10000,72832,10.98,24,Acive,2026-04-07
160,10000,990821,15.7,12,Default,2025-01-14
161,10000,695029,20.44,48,Acive,2025-10-31
162,10000,239563,23.75,24,Acive,2025-07-25
163,10000,776625,10.51,12,Acive,2026-02-15
164,10000,846686,12.62,48,Acive,2025-02-04
165,10000,273006,15.02,48,Closed,2024-09-17
166,10000,107085,21.03,48,Acive,2024-05-10
167,10000,983806,21.45,12,Default,2025-05-10
168,10000,726927,17.94,48,Default,2026-02-14
169,10000,595665,13.13,12,Default,2024-09-06
170,10000,929414,10.28,36,Closed,2025-12-21
171,10000,375181,15.32,6,Closed,2025-05-10
172,10000,734645,12.93,6,Acive,2025-11-17
173,10000,891735,23.08,12,Acive,2025-05-17
174,10000,984615,18.78,6,Default,2025-08-30
175,10000,502427,12.89,6,Closed,2026-03-06
176,10000,528835,20.13,6,Closed,2025-04-13
177,10000,143727,12.26,24,Default,2024-07-15
178,10000,436741,15.96,24,Default,2024-07-29
179,10000,372432,12.34,36,Closed,2025-05-04
180,10000,377922,12.06,24,Default,2025-12-03
181,10000,857024,12.17,6,Acive,2025-12-26
182,10000,59603,15.56,48,Acive,2026-05-01
183,10000,470218,23.74,24,Default,2025-09-08
184,10000,629722,19.36,48,Acive,2025-01-23
185,10000,878196,16.95,12,Closed,2024-09-08
186,10000,420319,23.27,12,Default,2026-01-27
187,10000,910039,20.15,48,Acive,2025-11-01
188,10000,935273,22.23,24,Default,2025-01-28
189,10000,491778,8.82,6,Closed,2024-11-20
190,10000,538664,15.0,24,Default,2024-07-20
191,10000,509042,16.4,24,Closed,2025-03-04
192,10000,306150,14.03,24,Closed,2025-05-20
193,10000,250313,18.45,12,Acive,2025-01-01
194,10000,204157,22.14,6,Closed,2025-04-22
195,10000,415606,10.67,48,Acive,2025-06-26
196,10000,93268,22.27,48,Closed,2025-03-26
197,10000,389384,20.78,24,Closed,2024-07-27
198,10000,618966,15.86,12,Default,2025-01-08
199,10000,619114,8.39,6,Closed,2025-07-16
200,10000,590701,15.49,48,Acive,2024-12-23
201,10000,80896,14.35,36,Closed,2024-07-25
202,10000,628031,22.37,48,Closed,2024-09-11
203,10000,648896,9.58,36,Closed,2024-11-07
204,10000,999948,13.12,48,Default,2024-07-20
205,10000,314214,8.76,6,Acive,2025-09-05
206,10000,128275,16.62,6,Default,2024-11-01
207,10000,98824,23.79,36,Acive,2025-08-18
208,10000,660383,12.21,6,Acive,2025-09-05
209,10000,825482,13.75,48,Acive,2025-08-11
210,10000,744392,17.11,36,Default,2025-04-10
211,10000,969521,20.67,24,Closed,2025-04-22
212,10000,385363,10.59,6,Closed,2024-06-21
213,10000,963730,21.0,12,Default,2024-08-08
214,10000,437709,15.12,48,Acive,2024-05-29
215,10000,739126,11.13,6,Default,2024-08-23
216,10000,622864,15.68,6,Acive,2025-08-10
217,10000,877989,12.82,36,Closed,2024-05-16
218,10000,572354,17.69,6,Closed,2024-06-17
219,10000,55797,10.25,36,Closed,2025-11-30
220,10000,654232,18.65,36,Default,2025-10-14
221,10000,355951,21.08,6,Acive,2026-02-06
222,10000,698126,15.88,24,Closed,2024-09-12
223,10000,760160,16.96,24,Acive,2025-05-17
224,10000,915407,22.72,6,Acive,2025-09-21
225,10000,260187,15.27,6,Acive,2026-04-03
226,10000,940637,11.9,48,Acive,2026-01-29
227,10000,617558,23.48,36,Default,2024-11-26
228,10000,231120,23.59,36,Default,2025-12-16
229,10000,133347,15.52,36,Acive,2025-07-08
230,10000,225980,13.53,36,Closed,2024-07-09
231,10000,314583,12.47,24,Acive,2024-07-29
232,10000,532075,20.92,24,Closed,2025-07-08
233,10000,618090,10.55,12,Acive,2025-09-26
234,10000,519004,17.26,48,Closed,2025-04-09
235,10000,650445,22.68,12,Default,2024-09-29
236,10000,246305,15.56,36,Closed,2025-03-07
237,10000,745247,18.02,6,Closed,2026-04-24
238,10000,628823,10.91,12,Default,2024-11-04
239,10000,755251,11.33,6,Acive,2025-02-21
240,10000,149287,17.47,36,Closed,2024-09-18
241,10000,353273,21.77,48,Closed,2025-08-14
242,10000,626401,11.69,24,Default,2024-07-27
243,10000,180447,18.17,24,Closed,2024-12-11
244,10000,925740,16.89,24,Acive,2025-06-19
245,10000,464084,16.41,12,Default,2024-10-21
246,10000,853851,21.23,36,Closed,2025-04-25
247,10000,476531,15.59,6,Default,2026-02-24
248,10000,224321,22.05,48,Closed,2024-09-19
249,10000,678053,10.12,36,Acive,2025-07-28
250,10000,179538,13.48,6,Default,2026-05-07
251,10000,425525,12.74,48,Acive,2024-11-01
252,10000,931910,17.5,48,Acive,2025-08-27
253,10000,91824,12.52,24,Default,2025-02-27
254,10000,744491,19.39,6,Default,2026-02-14
255,10000,366631,10.77,36,Closed,2025-01-23
256,10000,361687,16.83,48,Default,2024-09-03
257,10000,987904,11.38,48,Acive,2025-06-27
258,10000,957740,9.98,12,Closed,2025-08-17
259,10000,721336,14.74,36,Acive,2024-11-15
260,10000,587550,15.41,36,Default,2025-02-23
261,10000,429496,9.03,24,Default,2025-03-22
262,10000,79609,10.44,48,Closed,2025-04-17
263,10000,349089,15.8,24,Default,2024-08-17
264,10000,126709,11.81,6,Acive,2025-06-11
265,10000,849474,21.34,6,Closed,2024-08-23
266,10000,773499,15.77,6,Closed,2025-01-07
267,10000,802472,20.7,48,Acive,2025-11-16
268,10000,653106,14.63,12,Closed,2025-11-08
269,10000,640707,22.64,48,Default,2024-05-22
270,10000,401335,21.68,12,Default,2025-02-03
271,10000,515844,8.79,24,Default,2025-03-29
272,10000,556779,20.31,48,Default,2025-01-07
273,10000,877775,10.34,12,Closed,2024-07-17
274,10000,95504,17.1,12,Default,2025-02-15
275,10000,404131,18.13,36,Closed,2025-07-30
276,10000,769472,22.57,48,Acive,2025-08-16
277,10000,742990,12.9,48,Closed,2024-08-25
278,10000,218397,16.66,48,Acive,2026-02-28
279,10000,67384,20.17,48,Default,2025-01-30
280,10000,637351,9.26,6,Closed,2025-04-10
281,10000,731534,10.83,24,Acive,2025-04-06
282,10000,891489,18.59,24,Acive,2024-05-31
283,10000,185379,9.02,6,Default,2024-05-12
284,10000,474319,20.46,48,Default,2024-11-19
285,10000,424559,15.19,24,Closed,2025-06-08
286,10000,618957,8.01,12,Default,2024-12-09
287,10000,901027,22.76,24,Closed,2024-06-14
288,10000,721656,18.73,36,Acive,2025-10-18
289,10000,80969,20.53,12,Acive,2024-06-28
290,10000,981918,12.24,36,Closed,2026-02-14
291,10000,275163,12.5,12,Closed,2026-03-04
292,10000,614507,16.33,48,Acive,2026-04-08
293,10000,329353,12.26,24,Default,2024-06-11
294,10000,285903,17.59,48,Default,2024-06-03
295,10000,807841,14.73,48,Default,2024-06-13
296,10000,402047,10.45,24,Closed,2026-03-15
297,10000,675331,14.05,48,Default,2025-11-11
298,10000,123656,21.36,6,Acive,2025-01-15
299,10000,291241,15.79,48,Closed,2024-09-18
300,10000,436807,23.36,36,Acive,2026-04-20
301,10000,247148,8.05,12,Acive,2024-11-10
302,10000,199617,14.19,48,Acive,2024-06-01
303,10000,943657,12.0,24,Default,2026-02-27
304,10000,850266,14.85,48,Closed,2025-01-02
305,10000,350550,8.75,12,Acive,2025-02-14
306,10000,283683,9.62,12,Default,2025-05-17
307,10000,329829,10.44,6,Default,2024-10-19
308,10000,888338,22.75,48,Acive,2024-05-27
309,10000,84296,10.97,24,Acive,2024-12-02
310,10000,199821,12.39,48,Default,2025-06-07
311,10000,797980,18.38,24,Acive,2024-10-21
312,10000,926366,21.83,6,Default,2025-07-14
313,10000,811090,14.05,24,Acive,2025-03-30
314,10000,272248,23.89,36,Closed,2025-11-25
315,10000,79833,12.99,24,Closed,2025-06-23
316,10000,380234,9.43,24,Closed,2024-09-25
317,10000,740597,8.44,24,Default,2024-05-13
318,10000,923105,9.2,48,Acive,2026-02-09
319,10000,881489,22.6,24,Closed,2024-06-05
320,10000,661963,21.39,6,Closed,2025-01-04
321,10000,810144,8.02,6,Acive,2025-02-25
322,10000,953499,18.17,6,Acive,2024-06-06
323,10000,732076,14.78,12,Acive,2025-01-30
324,10000,303186,22.44,24,Default,2025-02-21
325,10000,600660,11.15,36,Closed,2024-09-09
326,10000,163848,14.15,36,Acive,2025-12-11
327,10000,72229,21.49,6,Acive,2024-11-13
328,10000,262817,19.08,6,Default,2024-08-05
329,10000,697707,14.94,6,Acive,2026-03-21
330,10000,133601,16.95,24,Closed,2025-09-20
331,10000,124541,22.16,24,Default,2024-11-25
332,10000,756576,10.56,48,Closed,2025-12-11
333,10000,302138,15.32,36,Default,2025-04-15
334,10000,833347,18.21,36,Default,2025-11-27
335,10000,635184,11.66,36,Acive,2025-12-16
336,10000,647244,18.74,48,Default,2026-01-05
337,10000,584838,23.93,48,Closed,2026-03-12
338,10000,223157,23.27,48,Default,2024-09-17
339,10000,112812,11.51,24,Closed,2025-10-23
340,10000,184859,21.45,24,Acive,2025-10-30
341,10000,152321,10.04,12,Acive,2024-09-03
342,10000,778798,22.38,48,Default,2026-03-06
343,10000,759643,20.73,6,Default,2025-12-19
344,10000,703052,11.91,6,Acive,2025-01-29
345,10000,173238,13.76,6,Closed,2026-01-22
346,10000,540735,10.82,24,Closed,2026-04-17
347,10000,846649,9.55,6,Acive,2025-01-19
348,10000,399852,22.55,36,Closed,2025-11-09
349,10000,896665,21.86,36,Default,2025-09-21
350,10000,323731,23.8,6,Acive,2024-06-11
351,10000,623009,14.1,24,Closed,2024-09-19
352,10000,480357,20.64,24,Closed,2025-11-17
353,10000,534161,10.48,36,Closed,2025-01-26
354,10000,447890,20.67,36,Closed,2025-04-06
355,10000,664964,18.41,36,Closed,2025-02-25
356,10000,789416,11.37,6,Closed,2026-03-09
357,10000,762168,15.45,48,Acive,2026-01-01
358,10000,596538,16.1,12,Closed,2025-12-20
359,10000,398865,19.99,12,Default,2025-04-17
360,10000,898757,15.63,24,Closed,2025-04-18
361,10000,120566,21.72,12,Acive,2024-12-04
362,10000,830685,18.03,48,Closed,2025-09-29
363,10000,761892,11.97,6,Acive,2026-01-21
364,10000,593588,12.79,36,Acive,2026-04-09
365,10000,966931,9.39,36,Default,2025-03-10
366,10000,974918,19.37,24,Default,2026-05-09
367,10000,187159,21.21,6,Default,2025-07-17
368,10000,530530,9.93,12,Closed,2025-10-31
369,10000,702578,16.73,48,Closed,2025-08-17
370,10000,545555,21.54,36,Acive,2026-03-14
371,10000,980139,12.12,36,Closed,2026-04-11
372,10000,122747,13.23,36,Default,2024-10-05
373,10000,468828,9.94,36,Default,2026-04-12
374,10000,50221,11.64,12,Closed,2025-12-29
375,10000,743794,14.93,36,Closed,2025-02-27
376,10000,757101,21.54,12,Acive,2026-03-17
377,10000,951494,22.13,48,Acive,2024-12-06
378,10000,639478,8.69,48,Closed,2025-09-18
379,10000,686585,20.14,48,Acive,2025-11-02
380,10000,361509,11.64,12,Default,2024-11-02
381,10000,75411,14.19,36,Closed,2025-11-14
382,10000,580297,20.44,24,Closed,2024-08-19
383,10000,695589,22.42,12,Default,2025-09-09
384,10000,285597,8.97,48,Acive,2024-05-14
385,10000,251940,21.94,48,Closed,2025-04-17
386,10000,965378,11.8,36,Default,2025-06-21
387,10000,430372,17.81,6,Acive,2025-09-11
388,10000,676301,8.02,24,Acive,2025-08-13
389,10000,993264,15.69,36,Acive,2024-09-05
390,10000,437921,12.69,48,Acive,2025-03-17
391,10000,473492,8.97,12,Acive,2024-11-05
392,10000,557976,15.34,12,Acive,2025-12-24
393,10000,834291,10.6,48,Closed,2026-04-18
394,10000,450890,14.67,48,Default,2026-04-12
395,10000,833167,19.31,6,Acive,2024-09-11
396,10000,277028,12.24,6,Acive,2026-02-12
397,10000,743185,15.25,12,Default,2025-04-30
398,10000,425092,14.62,36,Acive,2025-12-06
399,10000,156765,16.64,12,Default,2025-07-23
400,10000,236556,23.87,12,Default,2025-12-31
401,10000,361556,9.29,48,Default,2025-12-14
402,10000,477369,15.87,24,Closed,2025-11-20
403,10000,894260,12.12,12,Acive,2026-03-11
404,10000,988123,15.83,36,Closed,2024-06-07
405,10000,944390,20.52,24,Default,2024-10-27
406,10000,477139,12.39,36,Default,2024-09-05
407,10000,508307,11.22,12,Acive,2025-06-07
408,10000,75890,8.81,24,Closed,2024-07-16
409,10000,72242,20.54,48,Default,2025-12-08
410,10000,589774,21.13,24,Closed,2024-05-27
411,10000,126614,10.44,24,Closed,2025-01-10
412,10000,61874,18.15,6,Closed,2025-06-25
413,10000,800671,18.21,24,Default,2025-10-01
414,10000,960661,14.76,24,Default,2025-03-25
415,10000,334989,19.7,12,Closed,2024-07-09
416,10000,90589,20.19,24,Default,2026-04-18
417,10000,143365,12.06,6,Acive,2025-07-11
418,10000,267211,23.71,24,Closed,2026-02-17
419,10000,133058,23.19,24,Closed,2024-11-06
420,10000,793880,20.31,36,Acive,2025-03-17
421,10000,626499,19.28,36,Closed,2025-11-29
422,10000,829457,14.51,24,Acive,2024-08-23
423,10000,382438,9.97,6,Acive,2024-09-23
424,10000,834938,13.72,12,Closed,2025-01-14
425,10000,297076,23.7,6,Closed,2025-04-16
426,10000,419740,11.48,24,Closed,2026-01-02
427,10000,794928,10.8,48,Closed,2025-02-08
428,10000,664273,21.17,6,Acive,2025-11-23
429,10000,316664,22.59,36,Closed,2025-01-09
430,10000,350305,15.41,6,Acive,2025-01-29
431,10000,373807,11.1,36,Closed,2025-03-29
432,10000,342495,12.34,24,Default,2025-05-28
433,10000,793869,18.93,48,Default,2025-02-15
434,10000,380156,20.79,36,Acive,2025-04-10
435,10000,357277,11.51,12,Acive,2025-06-24
436,10000,858774,9.82,12,Default,2025-07-08
437,10000,564749,9.61,36,Acive,2026-04-11
438,10000,386441,18.82,36,Acive,2025-09-05
439,10000,254831,21.81,48,Acive,2025-05-14
440,10000,867308,8.95,24,Closed,2024-05-31
441,10000,860042,8.06,6,Acive,2024-08-17
442,10000,425118,19.55,24,Closed,2025-10-08
443,10000,409915,19.15,6,Acive,2024-12-14
444,10000,198929,12.35,6,Acive,2024-07-30
445,10000,586586,22.84,6,Acive,2025-09-20
446,10000,142595,9.72,6,Acive,2025-03-20
447,10000,817966,19.14,12,Acive,2024-10-27
448,10000,673467,14.17,48,Acive,2024-09-21
449,10000,192957,21.86,48,Acive,2025-04-23
450,10000,547589,8.44,48,Acive,2024-08-05
451,10000,738866,18.61,12,Acive,2024-10-21
452,10000,900147,16.66,6,Acive,2024-08-13
453,10000,265088,17.35,12,Acive,2026-04-17
454,10000,676194,9.08,24,Acive,2024-08-12
455,10000,268685,23.71,48,Acive,2024-12-25
456,10000,838823,18.42,12,Closed,2025-06-19
457,10000,950368,15.47,36,Closed,2024-12-16
458,10000,599774,15.72,6,Default,2025-05-01
459,10000,757595,18.22,12,Closed,2025-11-04
460,10000,64147,17.0,48,Default,2024-07-24
461,10000,971271,23.65,48,Default,2026-04-04
462,10000,130825,17.08,24,Closed,2025-12-30
463,10000,183141,12.39,12,Closed,2025-10-18
464,10000,910738,19.9,36,Default,2025-07-20
465,10000,549896,20.18,24,Acive,2025-10-31
466,10000,981188,9.11,48,Acive,2025-09-22
467,10000,622861,15.82,24,Acive,2025-07-05
468,10000,569318,20.32,24,Acive,2025-04-21
469,10000,694907,9.4,24,Closed,2024-11-02
470,10000,777255,23.53,6,Closed,2024-11-26
471,10000,782787,17.35,6,Acive,2025-03-25
472,10000,801050,19.46,12,Closed,2024-05-27
473,10000,809753,13.67,12,Closed,2024-05-27
474,10000,231192,19.62,36,Closed,2024-07-17
475,10000,246818,10.99,24,Default,2026-02-28
476,10000,900431,23.97,24,Closed,2025-08-24
477,10000,935565,18.39,36,Closed,2025-11-30
478,10000,248315,17.55,48,Default,2026-04-13
479,10000,832350,21.78,36,Default,2026-04-12
480,10000,319776,8.29,36,Acive,2025-05-23
481,10000,950837,20.5,6,Closed,2025-03-17
482,10000,529287,8.37,48,Acive,2026-04-10
483,10000,630274,17.22,6,Acive,2025-11-10
484,10000,838192,16.95,24,Closed,2025-02-13
485,10000,273316,19.67,36,Default,2025-08-20
486,10000,889481,15.22,48,Default,2025-07-15
487,10000,491607,17.46,24,Closed,2025-06-16
488,10000,865778,16.01,6,Acive,2025-03-02
489,10000,581918,20.01,6,Closed,2025-07-21
490,10000,912751,20.31,12,Acive,2024-09-12
491,10000,906317,16.18,12,Acive,2025-03-14
492,10000,227644,9.33,12,Default,2024-07-18
493,10000,280480,12.74,36,Closed,2024-07-20
494,10000,697208,15.26,36,Default,2025-09-27
495,10000,570192,12.69,12,Acive,2025-02-22
496,10000,708328,10.16,48,Default,2025-12-09
497,10000,92849,12.59,6,Default,2025-11-22
498,10000,256544,18.57,36,Acive,2025-11-26
499,10000,823296,14.47,36,Acive,2025-12-10
500,10000,960409,17.72,12,Acive,2026-04-23
501,10000,355501,8.78,24,Closed,2025-02-18
502,10000,851130,13.08,48,Acive,2024-11-30
503,10000,905995,23.02,12,Acive,2026-02-18
504,10000,582518,19.85,36,Acive,2024-05-21
505,10000,168524,23.14,6,Closed,2025-01-02
506,10000,656677,20.7,48,Default,2024-11-21
507,10000,62865,16.61,48,Acive,2025-10-26
508,10000,146554,18.95,48,Default,2026-04-22
509,10000,119750,10.32,48,Default,2026-01-20
510,10000,529125,11.41,12,Closed,2025-08-26
511,10000,483363,22.61,12,Closed,2025-08-21
512,10000,331024,19.33,36,Default,2026-01-01
513,10000,125041,8.51,48,Acive,2024-11-26
514,10000,438458,17.51,48,Acive,2025-08-15
515,10000,686277,9.5,6,Default,2025-11-04
516,10000,229970,15.58,36,Default,2024-09-17
517,10000,947264,16.75,24,Closed,2025-01-29
518,10000,308183,13.63,12,Default,2025-07-20
519,10000,419543,13.85,36,Default,2026-04-29
520,10000,431898,13.08,12,Acive,2024-08-10
521,10000,914246,18.26,12,Closed,2024-05-19
522,10000,446234,10.26,24,Default,2025-11-01
523,10000,314259,20.89,12,Acive,2024-12-05
524,10000,797071,15.14,6,Acive,2026-05-06
525,10000,924642,14.66,48,Closed,2024-11-15
526,10000,917620,23.27,12,Closed,2024-08-14
527,10000,390258,13.88,24,Default,2025-01-05
528,10000,927507,16.69,36,Acive,2025-03-07
529,10000,988508,8.78,48,Closed,2024-11-19
530,10000,858352,17.57,12,Acive,2025-12-11
531,10000,560062,21.93,48,Closed,2025-11-11
532,10000,270142,8.41,12,Acive,2025-06-20
533,10000,990299,19.4,48,Acive,2025-03-27
534,10000,347546,16.97,12,Default,2025-06-02
535,10000,613631,18.65,48,Closed,2024-11-09
536,10000,674549,19.85,36,Acive,2024-09-14
537,10000,792626,17.74,6,Closed,2024-08-07
538,10000,234528,16.17,12,Closed,2024-10-21
539,10000,527557,11.65,12,Default,2024-11-03
540,10000,112203,21.69,12,Default,2024-07-24
541,10000,337769,8.79,12,Closed,2025-05-16
542,10000,128712,13.68,48,Closed,2026-01-12
543,10000,293428,15.14,48,Acive,2024-06-17
544,10000,56272,18.92,6,Closed,2024-06-09
545,10000,562883,22.9,24,Default,2024-07-08
546,10000,617820,9.76,24,Default,2025-02-20
547,10000,950904,22.12,48,Closed,2025-10-20
548,10000,122945,20.66,48,Default,2025-07-17
549,10000,938450,18.83,48,Acive,2025-08-11
550,10000,564946,18.53,12,Acive,2025-07-27
551,10000,539450,8.62,48,Closed,2025-09-01
552,10000,78222,13.59,36,Acive,2025-02-23
553,10000,414694,11.83,24,Default,2026-03-06
554,10000,800546,14.66,24,Closed,2025-10-22
555,10000,183117,19.57,12,Acive,2026-03-06
556,10000,428227,21.62,48,Acive,2025-04-07
557,10000,500026,16.04,36,Default,2024-07-28
558,10000,214294,22.07,12,Closed,2025-04-21
559,10000,239193,23.76,36,Default,2025-11-01
560,10000,687938,18.14,36,Closed,2024-07-07
561,10000,450619,22.99,12,Closed,2026-04-15
562,10000,766625,10.48,6,Acive,2025-04-15
563,10000,229369,9.97,24,Acive,2025-03-04
